"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","615,129","±634","615,129","(X)","3,561,342","±2,697","3,561,342","(X)","85,766","±429","85,766","(X)","1,111,321","±946","1,111,321","(X)","848,646","±2,042","848,646","(X)","1,224,390","±2,112","1,224,390","(X)","158,315","±985","158,315","(X)","106,718","±635","106,718","(X)","78,527","±515","78,527","(X)"
"        Occupied housing units","575,410","±4,162","93.5%","±0.7","3,313,908","±10,529","93.1%","±0.3","79,487","±1,497","92.7%","±1.6","1,040,394","±5,391","93.6%","±0.5","728,103","±4,596","85.8%","±0.5","1,130,911","±6,394","92.4%","±0.5","146,224","±2,369","92.4%","±1.4","94,994","±2,034","89.0%","±1.9","74,428","±1,333","94.8%","±1.6"
"        Vacant housing units","39,719","±4,018","6.5%","±0.7","247,434","±10,266","6.9%","±0.3","6,279","±1,413","7.3%","±1.6","70,927","±5,190","6.4%","±0.5","120,543","±4,555","14.2%","±0.5","93,479","±6,190","7.6%","±0.5","12,091","±2,226","7.6%","±1.4","11,724","±2,039","11.0%","±1.9","4,099","±1,224","5.2%","±1.6"
"        Homeowner vacancy rate","0.6","±0.3","(X)","(X)","1.1","±0.2","(X)","(X)","1.0","±0.8","(X)","(X)","1.0","±0.3","(X)","(X)","1.7","±0.4","(X)","(X)","1.1","±0.3","(X)","(X)","0.3","±0.3","(X)","(X)","2.4","±1.5","(X)","(X)","1.0","±0.8","(X)","(X)"
"        Rental vacancy rate","4.5","±0.8","(X)","(X)","3.8","±0.3","(X)","(X)","2.9","±1.2","(X)","(X)","4.0","±0.6","(X)","(X)","4.7","±0.8","(X)","(X)","4.3","±0.6","(X)","(X)","1.9","±1.0","(X)","(X)","3.9","±2.2","(X)","(X)","1.5","±1.3","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","615,129","±634","615,129","(X)","3,561,342","±2,697","3,561,342","(X)","85,766","±429","85,766","(X)","1,111,321","±946","1,111,321","(X)","848,646","±2,042","848,646","(X)","1,224,390","±2,112","1,224,390","(X)","158,315","±985","158,315","(X)","106,718","±635","106,718","(X)","78,527","±515","78,527","(X)"
"        1-unit, detached","316,605","±5,362","51.5%","±0.9","1,705,862","±14,102","47.9%","±0.4","65,738","±1,919","76.6%","±2.2","558,556","±6,316","50.3%","±0.6","581,741","±6,485","68.5%","±0.8","611,135","±7,916","49.9%","±0.6","91,600","±2,979","57.9%","±1.9","68,311","±2,474","64.0%","±2.3","46,030","±2,112","58.6%","±2.7"
"        1-unit, attached","56,625","±3,153","9.2%","±0.5","221,559","±7,130","6.2%","±0.2","2,233","±786","2.6%","±0.9","146,485","±6,181","13.2%","±0.6","41,078","±2,691","4.8%","±0.3","123,459","±5,081","10.1%","±0.4","10,006","±1,576","6.3%","±1.0","11,567","±1,750","10.8%","±1.6","5,259","±1,159","6.7%","±1.5"
"        2 units","23,391","±2,528","3.8%","±0.4","102,482","±5,201","2.9%","±0.1","2,084","±758","2.4%","±0.9","16,934","±2,069","1.5%","±0.2","14,206","±2,170","1.7%","±0.3","18,591","±2,633","1.5%","±0.2","6,331","±1,307","4.0%","±0.8","3,329","±941","3.1%","±0.9","1,519","±645","1.9%","±0.8"
"        3 or 4 units","39,022","±3,381","6.3%","±0.5","216,499","±7,099","6.1%","±0.2","3,591","±1,000","4.2%","±1.2","72,622","±4,914","6.5%","±0.4","35,617","±3,136","4.2%","±0.4","59,585","±4,619","4.9%","±0.4","9,356","±1,625","5.9%","±1.0","4,811","±1,357","4.5%","±1.3","4,292","±1,149","5.5%","±1.5"
"        5 to 9 units","33,758","±2,592","5.5%","±0.4","281,620","±8,122","7.9%","±0.2","3,809","±831","4.4%","±1.0","76,571","±5,358","6.9%","±0.5","41,735","±3,735","4.9%","±0.4","93,233","±5,605","7.6%","±0.5","11,516","±2,021","7.3%","±1.3","3,675","±1,076","3.4%","±1.0","5,900","±1,432","7.5%","±1.8"
"        10 to 19 units","32,693","±3,097","5.3%","±0.5","276,639","±8,672","7.8%","±0.2","1,167","±567","1.4%","±0.7","58,794","±4,914","5.3%","±0.4","30,106","±2,831","3.5%","±0.3","86,152","±5,679","7.0%","±0.5","8,240","±1,486","5.2%","±0.9","2,938","±1,099","2.8%","±1.0","4,836","±1,155","6.2%","±1.5"
"        20 or more units","105,665","±4,366","17.2%","±0.7","697,317","±10,625","19.6%","±0.3","1,402","±544","1.6%","±0.6","150,726","±5,896","13.6%","±0.5","31,248","±2,162","3.7%","±0.3","188,003","±6,556","15.4%","±0.5","14,525","±1,987","9.2%","±1.3","5,885","±1,272","5.5%","±1.2","7,354","±1,181","9.4%","±1.5"
"        Mobile home","6,980","±1,321","1.1%","±0.2","57,302","±3,562","1.6%","±0.1","5,742","±1,154","6.7%","±1.3","30,238","±2,012","2.7%","±0.2","71,947","±3,758","8.5%","±0.4","42,871","±2,830","3.5%","±0.2","6,741","±1,215","4.3%","±0.8","6,072","±932","5.7%","±0.9","3,117","±821","4.0%","±1.0"
"        Boat, RV, van, etc.","390","±225","0.1%","±0.1","2,062","±724","0.1%","±0.1","0","±211","0.0%","±0.2","395","±356","0.0%","±0.1","968","±407","0.1%","±0.1","1,361","±657","0.1%","±0.1","0","±211","0.0%","±0.1","130","±159","0.1%","±0.1","220","±224","0.3%","±0.3"
"YEAR STRUCTURE BUILT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","615,129","±634","615,129","(X)","3,561,342","±2,697","3,561,342","(X)","85,766","±429","85,766","(X)","1,111,321","±946","1,111,321","(X)","848,646","±2,042","848,646","(X)","1,224,390","±2,112","1,224,390","(X)","158,315","±985","158,315","(X)","106,718","±635","106,718","(X)","78,527","±515","78,527","(X)"
"        Built 2014 or later","15,105","±2,290","2.5%","±0.4","60,773","±4,212","1.7%","±0.1","1,328","±738","1.5%","±0.9","41,737","±3,255","3.8%","±0.3","25,135","±2,348","3.0%","±0.3","29,597","±2,764","2.4%","±0.2","3,178","±927","2.0%","±0.6","1,119","±623","1.0%","±0.6","2,479","±730","3.2%","±0.9"
"        Built 2010 to 2013","9,128","±1,136","1.5%","±0.2","39,164","±3,541","1.1%","±0.1","1,386","±495","1.6%","±0.6","23,013","±2,649","2.1%","±0.2","24,346","±2,627","2.9%","±0.3","22,443","±2,495","1.8%","±0.2","2,588","±850","1.6%","±0.5","687","±428","0.6%","±0.4","1,530","±746","1.9%","±0.9"
"        Built 2000 to 2009","44,081","±2,626","7.2%","±0.4","182,359","±5,772","5.1%","±0.2","18,069","±1,894","21.1%","±2.2","83,129","±4,859","7.5%","±0.4","220,260","±6,620","26.0%","±0.8","141,916","±6,079","11.6%","±0.5","13,746","±1,643","8.7%","±1.0","8,213","±1,271","7.7%","±1.2","14,034","±1,593","17.9%","±2.0"
"        Built 1990 to 1999","51,404","±3,212","8.4%","±0.5","226,841","±7,694","6.4%","±0.2","12,584","±1,543","14.7%","±1.8","131,519","±5,696","11.8%","±0.5","135,114","±5,306","15.9%","±0.6","157,568","±6,201","12.9%","±0.5","16,321","±2,559","10.3%","±1.6","8,588","±1,650","8.0%","±1.5","12,738","±1,848","16.2%","±2.4"
"        Built 1980 to 1989","68,520","±3,916","11.1%","±0.6","401,623","±9,725","11.3%","±0.3","11,208","±1,526","13.1%","±1.8","160,313","±5,875","14.4%","±0.5","177,609","±5,883","20.9%","±0.7","228,663","±6,198","18.7%","±0.5","22,853","±2,130","14.4%","±1.4","15,943","±2,113","14.9%","±2.0","11,317","±1,535","14.4%","±1.9"
"        Built 1970 to 1979","104,064","±4,331","16.9%","±0.7","492,859","±8,555","13.8%","±0.2","13,932","±1,831","16.2%","±2.1","259,543","±7,717","23.4%","±0.7","113,940","±5,128","13.4%","±0.6","271,171","±6,574","22.1%","±0.5","28,575","±2,393","18.0%","±1.5","27,262","±2,860","25.5%","±2.6","13,573","±1,385","17.3%","±1.7"
"        Built 1960 to 1969","88,201","±4,656","14.3%","±0.8","544,755","±9,905","15.3%","±0.3","9,187","±1,504","10.7%","±1.7","215,697","±6,128","19.4%","±0.6","65,885","±3,817","7.8%","±0.5","145,650","±5,625","11.9%","±0.5","35,173","±2,575","22.2%","±1.6","13,839","±2,125","13.0%","±2.0","9,025","±1,456","11.5%","±1.8"
"        Built 1950 to 1959","77,524","±3,564","12.6%","±0.6","727,353","±12,018","20.4%","±0.3","7,893","±1,233","9.2%","±1.4","143,200","±4,899","12.9%","±0.4","54,309","±3,395","6.4%","±0.4","129,035","±5,688","10.5%","±0.5","17,926","±1,704","11.3%","±1.1","12,340","±1,795","11.6%","±1.7","6,845","±1,313","8.7%","±1.7"
"        Built 1940 to 1949","39,118","±2,757","6.4%","±0.4","358,150","±8,150","10.1%","±0.2","5,032","±1,221","5.9%","±1.4","23,792","±2,562","2.1%","±0.2","14,918","±2,011","1.8%","±0.2","44,743","±3,168","3.7%","±0.3","5,234","±1,238","3.3%","±0.8","7,467","±1,479","7.0%","±1.4","3,339","±959","4.3%","±1.2"
"        Built 1939 or earlier","117,984","±4,345","19.2%","±0.7","527,465","±9,757","14.8%","±0.3","5,147","±1,299","6.0%","±1.5","29,378","±2,989","2.6%","±0.3","17,130","±1,852","2.0%","±0.2","53,604","±3,592","4.4%","±0.3","12,721","±1,653","8.0%","±1.0","11,260","±1,813","10.6%","±1.7","3,647","±892","4.6%","±1.1"
"ROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","615,129","±634","615,129","(X)","3,561,342","±2,697","3,561,342","(X)","85,766","±429","85,766","(X)","1,111,321","±946","1,111,321","(X)","848,646","±2,042","848,646","(X)","1,224,390","±2,112","1,224,390","(X)","158,315","±985","158,315","(X)","106,718","±635","106,718","(X)","78,527","±515","78,527","(X)"
"        1 room","23,957","±2,704","3.9%","±0.4","232,705","±7,104","6.5%","±0.2","1,591","±663","1.9%","±0.8","30,522","±3,286","2.7%","±0.3","15,366","±1,785","1.8%","±0.2","45,689","±3,846","3.7%","±0.3","5,915","±1,174","3.7%","±0.7","3,732","±1,065","3.5%","±1.0","1,781","±852","2.3%","±1.1"
"        2 rooms","41,519","±3,440","6.7%","±0.6","206,767","±7,817","5.8%","±0.2","864","±424","1.0%","±0.5","35,614","±3,053","3.2%","±0.3","27,910","±3,019","3.3%","±0.4","47,204","±3,282","3.9%","±0.3","5,501","±1,211","3.5%","±0.8","5,546","±1,369","5.2%","±1.3","4,744","±1,193","6.0%","±1.5"
"        3 rooms","96,040","±4,587","15.6%","±0.7","553,967","±10,289","15.6%","±0.3","4,728","±1,147","5.5%","±1.3","134,121","±4,861","12.1%","±0.4","75,573","±4,333","8.9%","±0.5","164,715","±6,474","13.5%","±0.5","19,356","±1,999","12.2%","±1.3","12,360","±2,005","11.6%","±1.9","7,543","±1,512","9.6%","±1.9"
"        4 rooms","125,338","±5,106","20.4%","±0.8","748,430","±11,415","21.0%","±0.3","13,971","±1,901","16.3%","±2.2","228,781","±7,672","20.6%","±0.7","155,411","±5,089","18.3%","±0.6","256,896","±7,136","21.0%","±0.6","32,263","±2,932","20.4%","±1.9","22,544","±2,432","21.1%","±2.3","17,407","±1,925","22.2%","±2.4"
"        5 rooms","98,551","±3,551","16.0%","±0.6","632,674","±12,960","17.8%","±0.4","25,219","±2,281","29.4%","±2.7","201,654","±7,652","18.1%","±0.7","174,028","±5,471","20.5%","±0.6","230,083","±7,654","18.8%","±0.6","33,134","±2,822","20.9%","±1.8","21,588","±2,393","20.2%","±2.2","13,151","±1,678","16.7%","±2.1"
"        6 rooms","90,847","±4,408","14.8%","±0.7","523,991","±11,969","14.7%","±0.3","18,655","±1,840","21.8%","±2.1","185,073","±5,913","16.7%","±0.5","146,281","±4,750","17.2%","±0.6","185,477","±6,760","15.1%","±0.6","26,824","±1,937","16.9%","±1.2","17,529","±2,018","16.4%","±1.9","14,796","±1,578","18.8%","±2.0"
"        7 rooms","58,404","±3,432","9.5%","±0.6","297,214","±8,963","8.3%","±0.3","12,062","±1,846","14.1%","±2.2","117,485","±4,571","10.6%","±0.4","98,716","±4,557","11.6%","±0.5","128,216","±5,624","10.5%","±0.5","15,809","±1,779","10.0%","±1.1","9,443","±1,545","8.8%","±1.5","8,866","±1,318","11.3%","±1.7"
"        8 rooms","43,070","±2,578","7.0%","±0.4","182,001","±6,486","5.1%","±0.2","5,238","±1,180","6.1%","±1.4","88,478","±4,585","8.0%","±0.4","75,463","±4,161","8.9%","±0.5","83,175","±3,946","6.8%","±0.3","9,272","±1,486","5.9%","±0.9","6,796","±1,264","6.4%","±1.2","5,502","±1,065","7.0%","±1.4"
"        9 rooms or more","37,403","±2,803","6.1%","±0.5","183,593","±5,040","5.2%","±0.1","3,438","±808","4.0%","±0.9","89,593","±4,017","8.1%","±0.4","79,898","±3,075","9.4%","±0.4","82,935","±4,129","6.8%","±0.3","10,241","±1,191","6.5%","±0.8","7,180","±1,076","6.7%","±1.0","4,737","±951","6.0%","±1.2"
"        Median rooms","4.7","±0.1","(X)","(X)","4.6","±0.1","(X)","(X)","5.4","±0.2","(X)","(X)","5.1","±0.1","(X)","(X)","5.4","±0.1","(X)","(X)","4.9","±0.1","(X)","(X)","5.0","±0.1","(X)","(X)","4.9","±0.2","(X)","(X)","5.1","±0.2","(X)","(X)"
"BEDROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","615,129","±634","615,129","(X)","3,561,342","±2,697","3,561,342","(X)","85,766","±429","85,766","(X)","1,111,321","±946","1,111,321","(X)","848,646","±2,042","848,646","(X)","1,224,390","±2,112","1,224,390","(X)","158,315","±985","158,315","(X)","106,718","±635","106,718","(X)","78,527","±515","78,527","(X)"
"        No bedroom","28,604","±2,824","4.7%","±0.5","258,504","±7,577","7.3%","±0.2","1,704","±679","2.0%","±0.8","33,566","±3,200","3.0%","±0.3","16,712","±1,778","2.0%","±0.2","50,085","±3,958","4.1%","±0.3","6,520","±1,195","4.1%","±0.8","4,319","±1,124","4.0%","±1.1","2,336","±942","3.0%","±1.2"
"        1 bedroom","103,217","±4,682","16.8%","±0.8","690,871","±10,954","19.4%","±0.3","4,486","±1,003","5.2%","±1.2","135,966","±5,832","12.2%","±0.5","64,021","±4,106","7.5%","±0.5","167,649","±6,098","13.7%","±0.5","22,219","±2,226","14.0%","±1.4","13,391","±2,116","12.5%","±2.0","10,820","±1,570","13.8%","±2.0"
"        2 bedrooms","178,826","±5,501","29.1%","±0.9","1,067,067","±12,424","30.0%","±0.4","18,415","±1,896","21.5%","±2.2","313,552","±9,098","28.2%","±0.8","222,029","±6,428","26.2%","±0.8","373,395","±8,443","30.5%","±0.7","45,227","±3,044","28.6%","±2.0","33,901","±2,259","31.8%","±2.1","19,617","±1,854","25.0%","±2.3"
"        3 bedrooms","181,392","±5,346","29.5%","±0.9","998,246","±11,641","28.0%","±0.3","41,108","±2,492","47.9%","±3.0","343,419","±7,299","30.9%","±0.7","289,617","±5,490","34.1%","±0.7","366,541","±9,123","29.9%","±0.7","54,897","±2,941","34.7%","±1.8","40,137","±2,592","37.6%","±2.4","27,408","±2,031","34.9%","±2.6"
"        4 bedrooms","97,947","±4,177","15.9%","±0.7","430,115","±7,931","12.1%","±0.2","17,914","±2,069","20.9%","±2.4","223,107","±6,424","20.1%","±0.6","188,486","±6,418","22.2%","±0.8","210,192","±6,232","17.2%","±0.5","24,082","±1,831","15.2%","±1.1","12,745","±1,554","11.9%","±1.5","15,664","±1,790","19.9%","±2.3"
"        5 or more bedrooms","25,143","±2,213","4.1%","±0.4","116,539","±4,815","3.3%","±0.1","2,139","±731","2.5%","±0.9","61,711","±3,643","5.6%","±0.3","67,781","±3,831","8.0%","±0.5","56,528","±3,791","4.6%","±0.3","5,370","±1,133","3.4%","±0.7","2,225","±862","2.1%","±0.8","2,682","±742","3.4%","±0.9"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
